vehicle_coordinates
[696  16],[715  16],[715  23],[696  23],[696  23],[696  23],[696  16]
[696  35],[715  35],[715  42],[697  42],[697  42],[697  42],[696  35]
[696  43],[715  43],[715  50],[697  50],[697  50],[697  50],[696  43]
[696  52],[715  52],[715  59],[697  59],[697  59],[697  59],[696  52]
[696  60],[715  60],[715  68],[697  68],[697  68],[697  68],[696  60]
[696  70],[715  70],[715  77],[697  77],[697  77],[697  77],[696  70]
[838  32],[838  51],[831  51],[831  33],[831  33],[831  33],[838  32]
[1012  122],[1011  140],[1004  140],[1005  122],[1005  122],[1005  122],[1012  122]
[996 135],[995 154],[988 154],[989 136],[989 136],[989 136],[996 135]
[995 211],[995 230],[988 230],[988 211],[988 211],[988 211],[995 211]
[1010  203],[1009  222],[1002  222],[1003  204],[1003  204],[1003  204],[1010  203]
[380  14],[379  33],[372  33],[373  15],[373  15],[373  15],[380  14]
[234  95],[234 113],[227 113],[227  95],[227  95],[227  95],[234  95]
[ 51 243],[ 50 261],[ 43 261],[ 44 243],[ 44 243],[ 44 243],[ 51 243]
[ 40 243],[ 39 262],[ 32 262],[ 33 244],[ 33 244],[ 33 244],[ 40 243]
[ 30 245],[ 29 264],[ 22 263],[ 23 245],[ 23 245],[ 23 245],[ 30 245]
[ 12 617],[ 11 636],[  4 636],[  5 618],[  5 618],[  5 618],[ 12 617]
[ 56 616],[ 56 634],[ 49 634],[ 49 616],[ 49 616],[ 49 616],[ 56 616]
[ 92 617],[ 91 636],[ 84 636],[ 85 618],[ 85 618],[ 85 618],[ 92 617]
[113 617],[112 636],[105 636],[106 618],[106 618],[106 618],[113 617]
[109 575],[108 594],[101 593],[101 575],[101 575],[101 575],[109 575]
[886 352],[905 352],[905 359],[887 359],[887 359],[887 359],[886 352]
[888 368],[906 368],[906 375],[888 375],[888 375],[888 375],[888 368]
[888 384],[906 384],[906 391],[888 391],[888 391],[888 391],[888 384]
[937 392],[955 392],[955 400],[937 400],[937 400],[937 400],[937 392]
[939 440],[957 440],[957 447],[939 447],[939 447],[939 447],[939 440]
[770 574],[789 574],[789 581],[771 581],[771 581],[771 581],[770 574]
[916 572],[934 572],[934 579],[916 579],[916 579],[916 579],[916 572]
[1105   91],[1124   91],[1124   98],[1106   98],[1106   98],[1106   98],[1105   91]
[1106  120],[1125  120],[1125  127],[1107  127],[1107  127],[1107  127],[1106  120]
[1106  132],[1125  132],[1125  139],[1107  139],[1107  139],[1107  139],[1106  132]
[1105  143],[1124  143],[1124  150],[1106  150],[1106  150],[1106  150],[1105  143]
[1103  152],[1121  152],[1121  159],[1103  159],[1103  159],[1103  159],[1103  152]
[1104  160],[1122  160],[1122  167],[1104  167],[1104  167],[1104  167],[1104  160]
[1103  191],[1122  191],[1122  198],[1104  198],[1104  198],[1104  198],[1103  191]
[1218  232],[1232  243],[1227  249],[1213  237],[1213  237],[1213  237],[1218  232]
[1266  229],[1280  240],[1275  246],[1262  234],[1262  234],[1262  234],[1266  229]
[1192  236],[1200  252],[1194  256],[1186  240],[1186  240],[1186  240],[1192  236]
[1121  272],[1121  291],[1114  291],[1114  273],[1114  273],[1114  273],[1121  272]
[1143  272],[1142  290],[1135  290],[1136  272],[1136  272],[1136  272],[1143  272]
[1154  272],[1153  291],[1146  291],[1147  273],[1147  273],[1147  273],[1154  272]
[1165  273],[1165  291],[1158  291],[1158  273],[1158  273],[1158  273],[1165  273]
[1177  274],[1176  292],[1169  292],[1170  274],[1170  274],[1170  274],[1177  274]
[1190  274],[1189  292],[1182  292],[1182  274],[1182  274],[1182  274],[1190  274]
[1213  272],[1212  291],[1205  291],[1205  273],[1205  273],[1205  273],[1213  272]
[1223  272],[1222  291],[1215  291],[1216  273],[1216  273],[1216  273],[1223  272]
[1257  272],[1257  291],[1250  291],[1250  273],[1250  273],[1250  273],[1257  272]
[1279  272],[1279  290],[1272  290],[1272  272],[1272  272],[1272  272],[1279  272]
[1136  296],[1124  310],[1118  306],[1130  292],[1130  292],[1130  292],[1136  296]
[1149  298],[1137  312],[1132  307],[1144  293],[1144  293],[1144  293],[1149  298]
[1162  298],[1150  312],[1145  307],[1156  293],[1156  293],[1156  293],[1162  298]
[1194  297],[1182  311],[1176  306],[1188  293],[1188  293],[1188  293],[1194  297]
[1209  295],[1197  309],[1191  304],[1203  290],[1203  290],[1203  290],[1209  295]
[1291  295],[1279  309],[1273  304],[1285  290],[1285  290],[1285  290],[1291  295]
[980 535],[979 553],[972 553],[973 535],[973 535],[973 535],[980 535]
[1172  607],[1172  626],[1165  625],[1165  607],[1165  607],[1165  607],[1172  607]
[1009  495],[1009  514],[1002  513],[1002  495],[1002  495],[1002  495],[1009  495]
[939 451],[957 451],[957 458],[939 458],[939 458],[939 458],[939 451]
[924 682],[942 682],[942 689],[924 689],[924 689],[924 689],[924 682]
[923 691],[941 691],[941 698],[923 698],[923 698],[923 698],[923 691]
[924 701],[943 701],[943 708],[925 708],[925 708],[925 708],[924 701]
[874 731],[893 731],[893 738],[874 738],[874 738],[874 738],[874 731]
[873 749],[891 749],[891 756],[873 756],[873 756],[873 756],[873 749]
[874 768],[893 768],[893 775],[874 775],[874 775],[874 775],[874 768]
[850 794],[869 794],[869 801],[851 801],[851 801],[851 801],[850 794]
[851 805],[870 805],[870 812],[851 812],[851 812],[851 812],[851 805]
[847 823],[866 823],[866 830],[848 830],[848 830],[848 830],[847 823]
[848 777],[867 777],[867 784],[849 784],[849 784],[849 784],[848 777]
[850 739],[869 739],[869 746],[851 746],[851 746],[851 746],[850 739]
[850 730],[869 730],[869 737],[851 737],[851 737],[851 737],[850 730]
[897 662],[897 681],[890 681],[890 663],[890 663],[890 663],[897 662]
[885 662],[886 681],[879 681],[878 663],[878 663],[878 663],[885 662]
[874 661],[875 680],[868 680],[867 662],[867 662],[867 662],[874 661]
[852 661],[853 679],[846 679],[845 661],[845 661],[845 661],[852 661]
[841 661],[841 679],[834 679],[833 661],[833 661],[833 661],[841 661]
[992 766],[993 784],[986 784],[985 766],[985 766],[985 766],[992 766]
[1006  825],[1007  843],[1000  843],[999 825],[999 825],[999 825],[1006  825]
[1007  906],[1008  924],[1001  924],[1000  906],[1000  906],[1000  906],[1007  906]
[823 875],[824 893],[817 894],[816 876],[816 876],[816 876],[823 875]
[798 837],[799 855],[792 856],[791 837],[791 837],[791 837],[798 837]
[786 836],[787 855],[779 855],[779 837],[779 837],[779 837],[786 836]
[787 815],[788 834],[781 834],[780 816],[780 816],[780 816],[787 815]
[776 814],[776 832],[769 833],[769 814],[769 814],[769 814],[776 814]
[754 814],[755 832],[748 833],[747 814],[747 814],[747 814],[754 814]
[732 815],[733 834],[726 834],[725 816],[725 816],[725 816],[732 815]
[710 815],[710 834],[703 834],[703 816],[703 816],[703 816],[710 815]
[699 815],[700 834],[693 834],[692 816],[692 816],[692 816],[699 815]
[663 838],[664 857],[657 857],[656 839],[656 839],[656 839],[663 838]
[696 835],[697 853],[690 853],[689 835],[689 835],[689 835],[696 835]
[709 836],[710 855],[703 855],[702 837],[702 837],[702 837],[709 836]
[731 835],[732 854],[725 854],[724 836],[724 836],[724 836],[731 835]
[742 835],[743 854],[736 854],[735 836],[735 836],[735 836],[742 835]
[776 833],[776 852],[769 852],[769 834],[769 834],[769 834],[776 833]
[764 878],[765 897],[758 897],[757 879],[757 879],[757 879],[764 878]
[755 878],[756 896],[749 896],[748 878],[748 878],[748 878],[755 878]
[731 878],[732 896],[725 896],[724 878],[724 878],[724 878],[731 878]
[709 878],[710 896],[703 896],[702 878],[702 878],[702 878],[709 878]
[686 878],[687 896],[680 896],[679 878],[679 878],[679 878],[686 878]
[1179  668],[1180  686],[1173  687],[1172  669],[1172  669],[1172  669],[1179  668]
[1165  669],[1165  688],[1158  688],[1158  670],[1158  670],[1158  670],[1165  669]
[1111  670],[1111  689],[1104  689],[1104  671],[1104  671],[1104  671],[1111  670]
[1212  672],[1213  691],[1206  691],[1205  673],[1205  673],[1205  673],[1212  672]
[1200  649],[1200  668],[1193  668],[1193  650],[1193  650],[1193  650],[1200  649]
[1188  651],[1189  669],[1182  669],[1181  651],[1181  651],[1181  651],[1188  651]
[1236  649],[1237  667],[1230  667],[1229  649],[1229  649],[1229  649],[1236  649]
[1236  669],[1236  687],[1229  687],[1229  669],[1229  669],[1229  669],[1236  669]
[1257  666],[1257  684],[1250  684],[1250  666],[1250  666],[1250  666],[1257  666]
[1267  646],[1268  664],[1261  664],[1260  646],[1260  646],[1260  646],[1267  646]
[1295  649],[1295  667],[1288  667],[1288  649],[1288  649],[1288  649],[1295  649]
[1280  669],[1281  687],[1274  687],[1273  669],[1273  669],[1273  669],[1280  669]
[1206 1166],[1188 1165],[1188 1158],[1206 1158],[1206 1158],[1206 1158],[1206 1166]
[ 864 1091],[ 845 1090],[ 845 1083],[ 863 1084],[ 863 1084],[ 863 1084],[ 864 1091]
[ 864 1101],[ 846 1100],[ 846 1093],[ 864 1094],[ 864 1094],[ 864 1094],[ 864 1101]
[ 859 1074],[ 841 1073],[ 841 1066],[ 859 1066],[ 859 1066],[ 859 1066],[ 859 1074]
[ 860 1055],[ 842 1054],[ 842 1047],[ 860 1048],[ 860 1048],[ 860 1048],[ 860 1055]
[ 798 1109],[ 780 1109],[ 780 1102],[ 798 1102],[ 798 1102],[ 798 1102],[ 798 1109]
[ 798 1119],[ 779 1118],[ 779 1111],[ 797 1112],[ 797 1112],[ 797 1112],[ 798 1119]
[ 795 1137],[ 777 1136],[ 777 1129],[ 795 1130],[ 795 1130],[ 795 1130],[ 795 1137]
[ 797 1148],[ 778 1147],[ 779 1140],[ 797 1140],[ 797 1140],[ 797 1140],[ 797 1148]
[ 790 1170],[ 772 1169],[ 772 1162],[ 790 1163],[ 790 1163],[ 790 1163],[ 790 1170]
[ 785 1189],[ 767 1188],[ 767 1181],[ 785 1182],[ 785 1182],[ 785 1182],[ 785 1189]
[ 858 1145],[ 883 1146],[ 883 1155],[ 858 1155],[ 858 1145]
[937 938],[962 939],[962 948],[937 948],[937 938]
[845 903],[843 928],[834 928],[836 903],[845 903]
[903 962],[904 980],[897 981],[896 962],[896 962],[896 962],[903 962]
[795 961],[796 980],[789 980],[788 962],[788 962],[788 962],[795 961]
[786 961],[787 980],[779 980],[779 962],[779 962],[779 962],[786 961]
[741 959],[742 977],[735 978],[734 960],[734 960],[734 960],[741 959]
[705 956],[706 975],[699 975],[698 957],[698 957],[698 957],[705 956]
[673 957],[670 982],[662 982],[664 957],[673 957]
[676 994],[ 674 1019],[ 665 1018],[667 993],[676 994]
[ 989 1128],[ 990 1146],[ 983 1147],[ 982 1128],[ 982 1128],[ 982 1128],[ 989 1128]
[1014 1164],[1014 1183],[1007 1183],[1007 1165],[1007 1165],[1007 1165],[1014 1164]
[ 991 1203],[ 991 1222],[ 984 1222],[ 984 1204],[ 984 1204],[ 984 1204],[ 991 1203]
[ 787 1019],[ 787 1038],[ 780 1038],[ 780 1020],[ 780 1020],[ 780 1020],[ 787 1019]
[ 789 1000],[ 789 1018],[ 782 1019],[ 782 1001],[ 782 1001],[ 782 1001],[ 789 1000]
[ 775 1000],[ 776 1018],[ 769 1019],[ 768 1001],[ 768 1001],[ 768 1001],[ 775 1000]
[ 754 1020],[ 754 1039],[ 747 1039],[ 747 1021],[ 747 1021],[ 747 1021],[ 754 1020]
[ 743 1019],[ 743 1038],[ 736 1038],[ 736 1020],[ 736 1020],[ 736 1020],[ 743 1019]
[ 733 1019],[ 733 1038],[ 726 1038],[ 726 1020],[ 726 1020],[ 726 1020],[ 733 1019]
[ 719 1019],[ 720 1038],[ 713 1038],[ 712 1020],[ 712 1020],[ 712 1020],[ 719 1019]
[ 708 1019],[ 708 1037],[ 701 1037],[ 701 1019],[ 701 1019],[ 701 1019],[ 708 1019]
[ 697 1018],[ 697 1036],[ 690 1037],[ 690 1019],[ 690 1019],[ 690 1019],[ 697 1018]
[ 686 1017],[ 687 1036],[ 680 1036],[ 679 1018],[ 679 1018],[ 679 1018],[ 686 1017]
[695 997],[ 696 1016],[ 689 1016],[688 998],[688 998],[688 998],[695 997]
[706 997],[ 707 1016],[ 700 1016],[699 998],[699 998],[699 998],[706 997]
[ 743 1000],[ 744 1018],[ 737 1019],[ 736 1001],[ 736 1001],[ 736 1001],[ 743 1000]
[ 591 1009],[ 612 1009],[ 612 1017],[ 591 1017],[ 591 1009]
[ 589 1027],[ 610 1027],[ 610 1035],[ 589 1036],[ 589 1027]
[ 756 1061],[ 755 1082],[ 747 1082],[ 748 1060],[ 756 1061]
[ 745 1059],[ 743 1080],[ 735 1080],[ 736 1058],[ 745 1059]
[ 700 1276],[ 698 1297],[ 691 1297],[ 692 1275],[ 700 1276]
[ 688 1276],[ 686 1297],[ 678 1297],[ 679 1275],[ 688 1276]
[ 677 1273],[ 675 1294],[ 668 1294],[ 669 1272],[ 677 1273]
[ 666 1273],[ 664 1295],[ 656 1294],[ 657 1273],[ 666 1273]
[ 643 1274],[ 642 1296],[ 634 1295],[ 635 1274],[ 643 1274]
[ 633 1273],[ 631 1295],[ 623 1294],[ 624 1273],[ 633 1273]
[ 600 1273],[ 599 1295],[ 591 1294],[ 592 1273],[ 600 1273]
[ 587 1273],[ 587 1294],[ 578 1294],[ 579 1273],[ 587 1273]
[ 546 1226],[ 546 1247],[ 539 1247],[ 537 1226],[ 546 1226]
[ 531 1228],[ 530 1250],[ 522 1249],[ 523 1228],[ 531 1228]
[ 494 1227],[ 492 1249],[ 484 1248],[ 485 1227],[ 494 1227]
[ 482 1227],[ 481 1248],[ 473 1248],[ 474 1226],[ 482 1227]
[ 469 1225],[ 468 1247],[ 460 1246],[ 461 1225],[ 469 1225]
[ 459 1225],[ 458 1247],[ 450 1246],[ 451 1225],[ 459 1225]
[ 449 1225],[ 448 1247],[ 440 1246],[ 441 1225],[ 449 1225]
[ 357 1270],[ 370 1287],[ 364 1292],[ 350 1276],[ 357 1270]
[ 593 1226],[ 593 1247],[ 585 1247],[ 584 1226],[ 593 1226]
[ 656 1226],[ 656 1248],[ 648 1248],[ 647 1226],[ 656 1226]
[ 680 1226],[ 681 1247],[ 673 1247],[ 672 1226],[ 680 1226]
[ 691 1226],[ 691 1248],[ 683 1248],[ 682 1226],[ 691 1226]
[ 711 1225],[ 712 1246],[ 704 1247],[ 703 1225],[ 711 1225]
[ 723 1224],[ 723 1246],[ 715 1246],[ 714 1224],[ 723 1224]
[592 861],[613 861],[613 869],[592 869],[592 861]
[592 894],[614 894],[614 902],[592 902],[592 894]
[592 849],[613 849],[613 857],[592 857],[592 849]
[592 837],[613 837],[613 844],[592 845],[592 837]
[589 818],[611 818],[611 826],[589 827],[589 818]
[589 809],[611 809],[611 817],[589 818],[589 809]
[587 799],[609 799],[609 807],[587 807],[587 799]
[635 771],[636 790],[629 790],[628 772],[628 772],[628 772],[635 771]
[646 771],[646 790],[639 790],[639 772],[639 772],[639 772],[646 771]
[658 771],[659 790],[652 790],[651 772],[651 772],[651 772],[658 771]
