vehicle_coordinates
[121  73],[129  72],[133  88],[125  90],[121  73]
[658  86],[667  88],[661 106],[653 103],[658  86]
[737  95],[747  96],[747 114],[738 114],[737  95]
[760  95],[770  96],[770 114],[761 114],[760  95]
[773  95],[783  95],[783 113],[773 113],[773  95]
[713  95],[723  95],[723 113],[713 113],[713  95]
[725  93],[734  94],[734 111],[725 111],[725  93]
[872  79],[880  76],[886  93],[878  96],[872  79]
[882  77],[890  74],[896  91],[889  94],[882  77]
[916  68],[924  66],[928  83],[921  86],[916  68]
[928  64],[936  63],[939  81],[931  83],[928  64]
[939  64],[947  63],[950  81],[942  83],[939  64]
[949  62],[957  61],[961  79],[953  81],[949  62]
[961  62],[969  61],[973  79],[965  81],[961  62]
[984  60],[992  60],[993  78],[985  79],[984  60]
[1252  206],[1260  205],[1261  223],[1253  224],[1252  206]
[1251  332],[1257  327],[1268  342],[1262  347],[1251  332]
[1253  442],[1261  441],[1263  459],[1255  460],[1253  442]
[1255  469],[1263  468],[1265  487],[1257  487],[1255  469]
[1256  494],[1264  493],[1266  512],[1257  512],[1256  494]
[1144  429],[1152  429],[1151  448],[1143  448],[1144  429]
[1132  427],[1140  427],[1139  446],[1131  446],[1132  427]
[1120  427],[1128  427],[1127  446],[1119  446],[1120  427]
[1106  428],[1115  428],[1114  447],[1105  446],[1106  428]
[1081  428],[1089  428],[1089  447],[1080  446],[1081  428]
[1069  428],[1077  428],[1076  447],[1068  446],[1069  428]
[1043  426],[1051  427],[1050  445],[1042  445],[1043  426]
[1045  400],[1053  401],[1052  419],[1044  419],[1045  400]
[1058  404],[1066  404],[1065  423],[1057  423],[1058  404]
[1084  406],[1092  406],[1091  425],[1083  425],[1084  406]
[1088  359],[1096  360],[1095  378],[1087  378],[1088  359]
[1099  359],[1107  360],[1106  378],[1098  378],[1099  359]
[1109  360],[1117  360],[1116  379],[1108  379],[1109  360]
[1132  359],[1140  360],[1139  378],[1131  378],[1132  359]
[1064  358],[1073  358],[1072  377],[1064  376],[1064  358]
[1043  358],[1051  358],[1050  377],[1042  376],[1043  358]
[1029  357],[1037  358],[1036  376],[1028  376],[1029  357]
[1145  405],[1153  406],[1152  424],[1144  424],[1145  405]
[1132  405],[1140  405],[1139  424],[1131  423],[1132  405]
[1157  404],[1166  404],[1165  423],[1156  423],[1157  404]
[730 352],[738 353],[737 371],[729 371],[730 352]
[719 352],[727 353],[726 371],[718 371],[719 352]
[695 350],[703 351],[702 369],[694 369],[695 350]
[704 375],[712 375],[712 394],[703 393],[704 375]
[692 375],[700 375],[699 394],[691 393],[692 375]
[681 375],[689 375],[688 394],[680 393],[681 375]
[722 375],[731 376],[730 394],[721 394],[722 375]
[735 449],[743 449],[742 468],[734 467],[735 449]
[747 449],[755 449],[754 468],[746 467],[747 449]
[722 449],[730 449],[729 468],[721 467],[722 449]
[711 449],[719 449],[718 468],[710 467],[711 449]
[699 449],[707 449],[706 468],[698 467],[699 449]
[687 449],[696 449],[695 468],[687 467],[687 449]
[760 449],[768 450],[767 468],[759 468],[760 449]
[971 486],[979 486],[978 505],[970 504],[971 486]
[1073  489],[1081  490],[1080  508],[1072  508],[1073  489]
[1083  489],[1092  490],[1091  508],[1082  508],[1083  489]
[1106  488],[1115  489],[1114  507],[1105  507],[1106  488]
[1118  491],[1126  491],[1126  509],[1117  509],[1118  491]
[1129  491],[1138  491],[1137  509],[1129  509],[1129  491]
[896 509],[904 509],[904 528],[895 527],[896 509]
[907 508],[916 508],[915 527],[907 527],[907 508]
[921 509],[929 509],[928 528],[920 527],[921 509]
[933 509],[941 509],[940 528],[932 527],[933 509]
[945 509],[953 510],[952 528],[944 528],[945 509]
[961 509],[969 510],[968 528],[960 528],[961 509]
[983 509],[991 510],[990 528],[982 528],[983 509]
[994 509],[1002  510],[1001  528],[993 528],[994 509]
[1007  509],[1015  510],[1014  528],[1006  528],[1007  509]
[1019  510],[1027  510],[1026  529],[1018  529],[1019  510]
[1031  510],[1039  510],[1038  529],[1030  529],[1031  510]
[1044  509],[1052  510],[1051  528],[1043  528],[1044  509]
[1054  509],[1062  510],[1061  528],[1053  528],[1054  509]
[1064  510],[1072  510],[1071  529],[1063  529],[1064  510]
