vehicle_coordinates
[410  60],[430  59],[430  67],[411  67],[410  60]
[409  34],[430  33],[430  41],[410  41],[409  34]
[415 113],[435 112],[435 121],[415 120],[415 113]
[375 262],[395 261],[395 269],[375 269],[375 262]
[375 252],[395 251],[395 260],[375 259],[375 252]
[373 234],[393 233],[393 241],[373 241],[373 234]
[422 230],[443 230],[443 238],[423 237],[422 230]
[426 250],[446 249],[446 258],[427 257],[426 250]
[429 314],[449 314],[449 322],[429 321],[429 314]
[430 328],[450 328],[450 336],[430 335],[430 328]
[430 336],[451 336],[451 344],[431 343],[430 336]
[430 345],[451 345],[451 353],[431 352],[430 345]
[380 333],[400 332],[400 340],[380 340],[380 333]
[380 342],[400 342],[400 350],[380 349],[380 342]
[380 357],[400 356],[400 364],[380 364],[380 357]
[380 366],[401 365],[401 373],[381 373],[380 366]
[381 374],[401 373],[401 382],[382 381],[381 374]
[382 393],[402 392],[402 401],[383 400],[382 393]
[434 390],[454 390],[454 398],[434 397],[434 390]
[434 400],[454 399],[454 408],[434 407],[434 400]
[436 464],[456 463],[456 472],[436 471],[436 464]
[385 489],[406 488],[406 497],[386 496],[385 489]
[436 530],[456 530],[456 538],[436 537],[436 530]
[434 557],[455 556],[455 564],[435 564],[434 557]
[432 572],[453 571],[453 580],[433 579],[432 572]
[434 589],[454 588],[454 596],[434 596],[434 589]
[384 620],[404 620],[404 628],[385 627],[384 620]
[235 493],[256 493],[256 501],[236 500],[235 493]
[235 485],[255 484],[255 493],[235 492],[235 485]
[184 486],[204 485],[204 493],[185 493],[184 486]
[184 477],[204 477],[204 485],[185 484],[184 477]
[185 462],[206 461],[206 469],[186 469],[185 462]
[112 486],[132 486],[132 494],[112 493],[112 486]
[ 35 430],[ 56 429],[ 56 437],[ 36 437],[ 35 430]
[ 37 411],[ 57 410],[ 57 418],[ 37 418],[ 37 411]
[ 33 512],[ 54 511],[ 54 519],[ 34 519],[ 33 512]
[ 33 537],[ 53 537],[ 53 545],[ 33 544],[ 33 537]
[ 34 557],[ 54 557],[ 54 565],[ 35 564],[ 34 557]
[ 61 331],[ 81 331],[ 81 339],[ 61 338],[ 61 331]
[126 363],[146 363],[146 371],[126 370],[126 363]
[ 83 476],[107 476],[107 484],[ 83 485],[ 83 476]
[ 86 485],[110 485],[109 493],[ 86 494],[ 86 485]
[ 83 495],[107 495],[107 504],[ 83 504],[ 83 495]
[109 495],[133 495],[133 504],[109 504],[109 495]
[158 487],[182 487],[181 495],[158 496],[158 487]
[161 452],[185 452],[185 460],[161 461],[161 452]
[ 33 547],[ 57 547],[ 56 556],[ 33 556],[ 33 547]
[112 391],[112 411],[104 411],[105 391],[112 391]
[176 392],[176 412],[168 412],[169 393],[176 392]
[237 432],[257 431],[257 439],[237 439],[237 432]
[237 415],[257 415],[257 423],[237 422],[237 415]
[372 202],[392 201],[392 209],[372 209],[372 202]
[630 181],[650 180],[650 188],[631 188],[630 181]
[631 196],[651 195],[651 204],[632 203],[631 196]
