vehicle_coordinates
[37 54],[56 54],[56 62],[37 62],[37 54]
[39 37],[58 37],[58 45],[39 45],[39 37]
[39 29],[59 29],[59 37],[39 37],[39 29]
[240  36],[240  55],[232  55],[232  36],[240  36]
[228  35],[228  54],[220  54],[220  35],[228  35]
[196  32],[196  52],[188  52],[188  32],[196  32]
[184  34],[184  53],[176  53],[176  34],[184  34]
[128  31],[128  50],[120  50],[120  31],[128  31]
[181 218],[181 238],[173 238],[173 218],[181 218]
[170 218],[170 238],[162 238],[162 218],[170 218]
[259 219],[259 239],[251 239],[251 219],[259 219]
[227 216],[227 235],[219 235],[219 216],[227 216]
[ 91 258],[ 91 277],[ 83 277],[ 83 258],[ 91 258]
[ 80 257],[ 80 276],[ 72 276],[ 72 257],[ 80 257]
[494 255],[494 274],[486 274],[486 255],[494 255]
[508 236],[508 255],[500 255],[500 236],[508 236]
[480 229],[480 248],[472 248],[472 229],[480 229]
[496 201],[496 221],[488 221],[488 201],[496 201]
[486 123],[486 143],[478 143],[478 123],[486 123]
[487  42],[487  61],[479  61],[479  42],[487  42]
[515  31],[515  50],[507  50],[507  31],[515  31]
[571  33],[571  52],[563  52],[563  33],[571  33]
[522 285],[522 304],[515 304],[515 285],[522 285]
[478 283],[478 303],[470 303],[470 283],[478 283]
[556 305],[556 325],[548 325],[548 305],[556 305]
[292 319],[312 318],[312 325],[293 327],[292 319]
[493 354],[502 354],[502 378],[494 377],[493 354]
[469 376],[477 376],[477 392],[469 391],[469 376]
[480 430],[487 430],[487 446],[480 446],[480 430]
[382 476],[390 476],[390 493],[383 492],[382 476]
[390 530],[398 530],[398 546],[391 546],[390 530]
[356 531],[364 531],[364 547],[356 546],[356 531]
[344 527],[352 527],[352 544],[345 543],[344 527]
[478 511],[486 511],[486 528],[479 527],[478 511]
[493 494],[500 494],[500 511],[493 510],[493 494]
[541 520],[549 520],[549 536],[542 536],[541 520]
[ 23 665],[ 31 665],[ 32 683],[ 24 683],[ 23 665]
[ 12 666],[ 20 666],[ 20 684],[ 12 684],[ 12 666]
[ 46 666],[ 54 666],[ 54 684],[ 46 684],[ 46 666]
[ 58 666],[ 66 666],[ 66 684],[ 58 684],[ 58 666]
[102 668],[110 668],[111 686],[103 686],[102 668]
[ 92 667],[ 99 667],[100 685],[ 92 685],[ 92 667]
[112 666],[120 666],[121 684],[113 684],[112 666]
[136 667],[144 667],[144 685],[136 685],[136 667]
[148 667],[156 667],[157 686],[149 686],[148 667]
[160 668],[168 668],[168 686],[161 686],[160 668]
[170 667],[178 667],[179 685],[171 685],[170 667]
[192 669],[200 669],[201 687],[193 687],[192 669]
[202 669],[210 669],[210 687],[202 687],[202 669]
[250 669],[258 669],[258 687],[250 687],[250 669]
